"year","multyear","sample","serial","cbserial","numprec","hhwt","cluster","stateicp","puma","city","strata","gq","gqtype","gqtyped","ownershp","ownershpd","mortgage","owncost","rentgrs","hhincome","valueh","rooms","unitsstr","pernum","perwt","famsize","age","race","raced","hispan","hispand","ancestr1","ancestr1d","citizen","speakeng","tribe","tribed","hcovany","school","educ","educd","gradeatt","gradeattd","schltype","empstat","empstatd","labforce","occ","ind","poverty","stateicp_f","puma_f","city_f","strata_f","gq_f","gqtype_f","gqtyped_f","ownershp_f","ownershpd_f","mortgage_f","owncost_f","rentgrs_f","hhincome_f","valueh_f","rooms_f","unitsstr_f","pernum_f","perwt_f","famsize_f","age_f","race_f","raced_f","hispan_f","hispand_f","ancestr1_f","ancestr1d_f","citizen_f","speakeng_f","tribe_f","tribed_f","hcovany_f","school_f","educ_f","educd_f","gradeatt_f","gradeattd_f","schltype_f","empstat_f","empstatd_f","labforce_f","occ_f","ind_f","poverty_f"
2012,2008,201205,1921043,2008000000021,1,28,2012019210435,21,3501,1190,350117,4,5,500,0,0,0,99999,0,9999999,9999999,0,0,1,28,1,21,1,100,0,0,142,1420,0,3,0,0,2,2,7,71,6,60,3,3,30,1,4030,4470,0,"Illinois","3501","Chicago, IL","350117","Other group quarters","Non-institutional GQ","Non-institutional group quarters","N/A","N/A","N/A","Not in universe","N/A","N/A ","N/A","N/A","N/A","1","28","1 family member present","21","White","White","Not Hispanic","Not Hispanic","Polish","Polish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","Yes, in school","1 year of college","1 or more years of college credit, no degree","College undergraduate","College undergraduate","Private school (1960,1990-2000,ACS,PRCS)","Not in labor force","Not in Labor Force","No, not in the labor force","4030","4470","N/A "
2012,2008,201205,1921065,2008000000428,2,21,2012019210655,21,3510,1190,351017,1,0,0,1,13,3,4188,0,215223,1500000,7,10,1,21,2,84,1,100,0,0,50,500,0,3,0,0,2,1,11,115,0,0,1,1,10,2,800,7280,501,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","4188","N/A","215223","1500000","7","50+ family building","1","21","2 family members present","84","White","White","Not Hispanic","Not Hispanic","Irish, various subheads,","Irish","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Professional degree beyond a bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","","7280","501 percent or more of poverty threshold"
2012,2008,201205,1921065,2008000000428,2,21,2012019210655,21,3510,1190,351017,1,0,0,1,13,3,4188,0,215223,1500000,7,10,2,23,2,76,1,100,0,0,195,1950,0,3,0,0,2,1,10,101,0,0,1,3,30,1,0,0,501,"Illinois","3510","Chicago, IL","351017","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","4188","N/A","215223","1500000","7","50+ family building","2","23","2 family members present","76","White","White","Not Hispanic","Not Hispanic","European, nec","European, nec","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","501 percent or more of poverty threshold"
2012,2008,201205,1921076,2008000000729,1,17,2012019210765,21,3511,1190,351117,4,5,500,0,0,0,99999,0,9999999,9999999,0,0,1,17,1,61,1,100,1,100,999,9990,3,3,0,0,1,1,1,15,0,0,1,3,30,1,0,0,0,"Illinois","3511","Chicago, IL","351117","Other group quarters","Non-institutional GQ","Non-institutional group quarters","N/A","N/A","N/A","Not in universe","N/A","N/A ","N/A","N/A","N/A","1","17","1 family member present","61","White","White","Mexican","Mexican","Not Reported","Not Reported","Not a citizen","Yes, speaks only English","Not applicable or blank","Not applicable or blank","No health insurance coverage","No, not in school","Nursery school to grade 4","Grade 2","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","N/A "
2012,2008,201205,1921078,2008000000820,2,15,2012019210785,21,3502,1190,350217,1,0,0,1,13,3,2213,0,177233,370000,3,8,1,15,2,28,1,100,0,0,22,220,0,3,0,0,2,1,11,114,0,0,1,1,10,2,4850,2190,501,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","2213","N/A","177233","370000","3","10-19 family building","1","15","2 family members present","28","White","White","Not Hispanic","Not Hispanic","English","English","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","5+ years of college","Master's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","4850","2190","501 percent or more of poverty threshold"
2012,2008,201205,1921078,2008000000820,2,15,2012019210785,21,3502,1190,350217,1,0,0,1,13,3,2213,0,177233,370000,3,8,2,13,2,28,1,100,0,0,148,1480,0,3,0,0,2,1,10,101,0,0,1,1,10,2,620,7390,501,"Illinois","3502","Chicago, IL","350217","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","2213","N/A","177233","370000","3","10-19 family building","2","13","2 family members present","28","White","White","Not Hispanic","Not Hispanic","Russian","Russian","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","4 years of college","Bachelor's degree","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","","7390","501 percent or more of poverty threshold"
2012,2008,201205,1921079,2008000000830,1,17,2012019210795,21,3517,1190,351717,1,0,0,1,12,1,223,0,66156,200000,4,3,1,17,1,37,1,100,0,0,32,321,0,3,0,0,2,1,6,63,0,0,1,1,10,2,7200,8770,501,"Illinois","3517","Chicago, IL","351717","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned free and clear","No, owned free and clear","223","N/A","66156","$200,000+","4","1-family house, detached","1","17","1 family member present","37","White","White","Not Hispanic","Not Hispanic","German","German (1990-2000, ACS/PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","7200","8770","501 percent or more of poverty threshold"
2012,2008,201205,1921083,2008000000895,3,16,2012019210835,21,3518,1190,351817,1,0,0,1,13,3,1369,0,60180,80000,5,3,1,16,3,62,2,200,0,0,900,9002,0,3,0,0,2,1,8,81,0,0,1,1,10,2,4600,8370,341,"Illinois","3518","Chicago, IL","351817","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1369","N/A","60180","80000","5","1-family house, detached","1","16","3","62","Black/African American","Black/African American","Not Hispanic","Not Hispanic","Afro-American","Black (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","2 years of college","Associate's degree, type not specified","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","4600","8370","341"
2012,2008,201205,1921083,2008000000895,3,16,2012019210835,21,3518,1190,351817,1,0,0,1,13,3,1369,0,60180,80000,5,3,2,12,3,67,2,200,0,0,900,9002,0,3,0,0,2,1,6,63,0,0,1,1,10,2,5510,8190,341,"Illinois","3518","Chicago, IL","351817","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1369","N/A","60180","80000","5","1-family house, detached","2","12","3","67","Black/African American","Black/African American","Not Hispanic","Not Hispanic","Afro-American","Black (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Employed","At work","Yes, in the labor force","5510","8190","341"
2012,2008,201205,1921083,2008000000895,3,16,2012019210835,21,3518,1190,351817,1,0,0,1,13,3,1369,0,60180,80000,5,3,3,24,3,40,2,200,0,0,900,9002,0,3,0,0,2,1,6,63,0,0,1,3,30,1,0,0,341,"Illinois","3518","Chicago, IL","351817","Households under 1970 definition","NA (non-group quarters households)","NA (non-group quarters households)","Owned or being bought (loan)","Owned with mortgage or loan","Yes, mortgaged/ deed of trust or similar debt","1369","N/A","60180","80000","5","1-family house, detached","3","24","3","40","Black/African American","Black/African American","Not Hispanic","Not Hispanic","Afro-American","Black (1990-2000, ACS, PRCS)","N/A","Yes, speaks only English","Not applicable or blank","Not applicable or blank","With health insurance coverage","No, not in school","Grade 12","Regular high school diploma","N/A","N/A","Not enrolled","Not in labor force","Not in Labor Force","No, not in the labor force","","","341"
