"","group","age_group","total_weighted_count","total_weighted_count_se","total_weighted_percentage"
"1","Cuban","0-9",1356,243.241332608324,14.5556032632031
"2","Cuban","10-19",839,158.405384130103,9.00601116358952
"3","Cuban","20-29",1818,297.859181264394,19.5148132245599
"4","Cuban","30-39",1636,249.130615761497,17.5611850579648
"5","Cuban","40-49",712,157.965877455177,7.64276513525118
"6","Cuban","50-59",930,185.066905701723,9.98282524688708
"7","Cuban","60-69",1110,233.928022899771,11.914984972091
"8","Cuban","70-79",654,262.629855740006,7.02018033490769
"9","Cuban","80+",261,74.3665184987611,2.80163160154573
"10","Mexican","0-9",81444,2129.18939190033,13.9048425538308
"11","Mexican","10-19",100899,2370.14823075608,17.2263728308896
"12","Mexican","20-29",102707,2349.02867985442,17.5350506381845
"13","Mexican","30-39",86328,2165.1102062522,14.7386823828288
"14","Mexican","40-49",81197,2119.06454995959,13.8626725215289
"15","Mexican","50-59",61572,1703.66467064901,10.5121183355983
"16","Mexican","60-69",39439,1346.31957116797,6.73337612937151
"17","Mexican","70-79",24596,1096.68155418212,4.19924742711584
"18","Mexican","80+",7542,573.737721911707,1.28763718065164
"19","Non-Hispanic Black/African American","0-9",89979,2344.74166745253,11.5551908399888
"20","Non-Hispanic Black/African American","10-19",99545,2412.38949145221,12.7836658794461
"21","Non-Hispanic Black/African American","20-29",118632,2775.31234552083,15.2348370145206
"22","Non-Hispanic Black/African American","30-39",103334,2434.43652476801,13.2702529507929
"23","Non-Hispanic Black/African American","40-49",90910,2167.50729541966,11.6747507669943
"24","Non-Hispanic Black/African American","50-59",98038,2150.03955074426,12.5901354712857
"25","Non-Hispanic Black/African American","60-69",93149,1933.86893989092,11.962285328289
"26","Non-Hispanic Black/African American","70-79",55574,1455.17285453423,7.13686722170212
"27","Non-Hispanic Black/African American","80+",29528,1103.12393429882,3.7920145269806
"28","Non-Hispanic White","0-9",68411,1594.08780018114,7.73366554109432
"29","Non-Hispanic White","10-19",57378,1454.68298275735,6.48641682502682
"30","Non-Hispanic White","20-29",172033,2639.92258778529,19.447832717415
"31","Non-Hispanic White","30-39",189610,2698.76696642263,21.4348616925187
"32","Non-Hispanic White","40-49",107786,2062.88059139927,12.1848953240326
"33","Non-Hispanic White","50-59",102515,2038.51051368884,11.5890240304232
"34","Non-Hispanic White","60-69",94510,1921.27818822593,10.6840819501078
"35","Non-Hispanic White","70-79",57994,1454.69774992575,6.55605384207545
"36","Non-Hispanic White","80+",34350,1047.44237834333,3.88316807730613
"37","Puerto Rican","0-9",13065,823.372554796414,13.6551767386442
"38","Puerto Rican","10-19",12706,734.010739135009,13.2799598653818
"39","Puerto Rican","20-29",13128,794.030555388102,13.7210225966262
"40","Puerto Rican","30-39",13179,784.826139278234,13.7743263864211
"41","Puerto Rican","40-49",13417,821.4729806904,14.0230774054642
"42","Puerto Rican","50-59",11833,688.840074775872,12.3675244047743
"43","Puerto Rican","60-69",9905,608.732610891821,10.3524321160559
"44","Puerto Rican","70-79",5370,460.256479393849,5.61257551370221
"45","Puerto Rican","80+",3075,458.263329759015,3.21390497293004
