"","year","race_ethnicity","ownershp_f","count","count_se","total","per","per2"
"1",2000,"Black (non-Hispanic or Latino)","N/A",23894,1738.40438225776,385238,6.2,"6.2%"
"2",2000,"Black (non-Hispanic or Latino)","Owned or being bought (loan)",133828,4204.9121335796,385238,34.74,"34.74%"
"3",2000,"Black (non-Hispanic or Latino)","Rented",227516,6007.80086827196,385238,59.06,"59.06%"
"4",2000,"Hispanics other than Mexican","N/A",3253,735.248205874752,69020,4.71,"4.71%"
"5",2000,"Hispanics other than Mexican","Owned or being bought (loan)",22685,1758.61021746096,69020,32.87,"32.87%"
"6",2000,"Hispanics other than Mexican","Rented",43082,2649.08971794517,69020,62.42,"62.42%"
"7",2000,"Mexican","N/A",2117,495.198994155467,130895,1.62,"1.62%"
"8",2000,"Mexican","Owned or being bought (loan)",53008,2653.65178143545,130895,40.5,"40.5%"
"9",2000,"Mexican","Rented",75770,3409.91850366983,130895,57.89,"57.89%"
"10",2000,"Other (non-Hispanic or Latino)","N/A",4661,808.26931736271,70368,6.62,"6.62%"
"11",2000,"Other (non-Hispanic or Latino)","Owned or being bought (loan)",24087,1880.1170785579,70368,34.23,"34.23%"
"12",2000,"Other (non-Hispanic or Latino)","Rented",41620,2528.09443064339,70368,59.15,"59.15%"
"13",2000,"White (non-Hispanic or Latino)","N/A",22707,1751.68947243989,468700,4.84,"4.84%"
"14",2000,"White (non-Hispanic or Latino)","Owned or being bought (loan)",232907,5478.02585528704,468700,49.69,"49.69%"
"15",2000,"White (non-Hispanic or Latino)","Rented",213086,5677.03100153741,468700,45.46,"45.46%"
"16",2012,"Black (non-Hispanic or Latino)","N/A",21034,689.463122187424,348286,6.04,"6.04%"
"17",2012,"Black (non-Hispanic or Latino)","Owned or being bought (loan)",115458,1772.33485285805,348286,33.15,"33.15%"
"18",2012,"Black (non-Hispanic or Latino)","Rented",211794,2646.70853814752,348286,60.81,"60.81%"
"19",2012,"Hispanics other than Mexican","N/A",2069,188.467395031155,65205,3.17,"3.17%"
"20",2012,"Hispanics other than Mexican","Owned or being bought (loan)",23922,840.571512611373,65205,36.69,"36.69%"
"21",2012,"Hispanics other than Mexican","Rented",39214,1213.77350068479,65205,60.14,"60.14%"
"22",2012,"Mexican","N/A",3239,233.978858009639,145286,2.23,"2.23%"
"23",2012,"Mexican","Owned or being bought (loan)",66001,1432.19613802199,145286,45.43,"45.43%"
"24",2012,"Mexican","Rented",76046,1657.17387734938,145286,52.34,"52.34%"
"25",2012,"Other (non-Hispanic or Latino)","N/A",4308,325.123981693595,76703,5.62,"5.62%"
"26",2012,"Other (non-Hispanic or Latino)","Owned or being bought (loan)",30821,975.883542065199,76703,40.18,"40.18%"
"27",2012,"Other (non-Hispanic or Latino)","Rented",41574,1346.13898907321,76703,54.2,"54.2%"
"28",2012,"White (non-Hispanic or Latino)","N/A",22673,746.354235813716,442638,5.12,"5.12%"
"29",2012,"White (non-Hispanic or Latino)","Owned or being bought (loan)",231236,2421.92998290236,442638,52.24,"52.24%"
"30",2012,"White (non-Hispanic or Latino)","Rented",188729,2523.62838339362,442638,42.64,"42.64%"
"31",2022,"Black (non-Hispanic or Latino)","N/A",18811,597.733687658774,347828,5.41,"5.41%"
"32",2022,"Black (non-Hispanic or Latino)","Owned or being bought (loan)",112236,2176.29424583341,347828,32.27,"32.27%"
"33",2022,"Black (non-Hispanic or Latino)","Rented",216781,3463.307504092,347828,62.32,"62.32%"
"34",2022,"Hispanics other than Mexican","N/A",2044,176.289279623882,77984,2.62,"2.62%"
"35",2022,"Hispanics other than Mexican","Owned or being bought (loan)",31978,1151.5801636644,77984,41.01,"41.01%"
"36",2022,"Hispanics other than Mexican","Rented",43962,1490.21925856169,77984,56.37,"56.37%"
"37",2022,"Mexican","N/A",4275,325.363401752834,175681,2.43,"2.43%"
"38",2022,"Mexican","Owned or being bought (loan)",85197,1974.64139153075,175681,48.5,"48.5%"
"39",2022,"Mexican","Rented",86209,2303.88699495336,175681,49.07,"49.07%"
"40",2022,"Other (non-Hispanic or Latino)","N/A",4784,278.279519791137,113611,4.21,"4.21%"
"41",2022,"Other (non-Hispanic or Latino)","Owned or being bought (loan)",49297,1601.79144096292,113611,43.39,"43.39%"
"42",2022,"Other (non-Hispanic or Latino)","Rented",59530,1856.24871815821,113611,52.4,"52.4%"
"43",2022,"White (non-Hispanic or Latino)","N/A",23630,621.731139307479,467709,5.05,"5.05%"
"44",2022,"White (non-Hispanic or Latino)","Owned or being bought (loan)",233322,2864.60380660529,467709,49.89,"49.89%"
"45",2022,"White (non-Hispanic or Latino)","Rented",210757,3085.32973342094,467709,45.06,"45.06%"
