"","race_ethnicity","citizenship_status","weighted_n","weighted_n_se","total_pop","total_pop_se","rate","year"
"1","Black (non-Hispanic or Latino)","Citizen",17584,927.636333037755,778689,6004.39755181471,2.25815441081099,2022
"2","Black (non-Hispanic or Latino)","Not a Citizen",13304,833.488458089676,778689,6004.39755181471,1.7085126411186,2022
"3","Black (non-Hispanic or Latino)","Unknown",747801,5912.74132647055,778689,6004.39755181471,96.0333329480704,2022
"4","Mexican","Citizen",91366,2073.15251266519,585724,5306.69283455324,15.598814458687,2022
"5","Mexican","Not a Citizen",131556,2735.48412507212,585724,5306.69283455324,22.4604079737214,2022
"6","Mexican","Unknown",362802,4268.87763132832,585724,5306.69283455324,61.9407775675916,2022
"7","Other (non-Hispanic or Latino)","Citizen",76207,1895.43441689012,264489,3512.95727613199,28.8129184956652,2022
"8","Other (non-Hispanic or Latino)","Not a Citizen",61461,1822.51308570802,264489,3512.95727613199,23.2376393725259,2022
"9","Other (non-Hispanic or Latino)","Unknown",126821,2421.97918487632,264489,3512.95727613199,47.9494421318089,2022
"10","Other Hispanic/Latino","Citizen",30155,1117.77032614193,209512,3035.57820276362,14.392970331055,2022
"11","Other Hispanic/Latino","Not a Citizen",29496,1217.59754734263,209512,3035.57820276362,14.0784298751384,2022
"12","Other Hispanic/Latino","Unknown",149861,2584.14296823924,209512,3035.57820276362,71.5285997938066,2022
"13","White (non-Hispanic or Latino)","Citizen",75384,1801.66058325873,884587,5248.34577622681,8.52194300843218,2022
"14","White (non-Hispanic or Latino)","Not a Citizen",42921,1410.13941660021,884587,5248.34577622681,4.85209481939029,2022
"15","White (non-Hispanic or Latino)","Unknown",766282,4916.66030818555,884587,5248.34577622681,86.6259621721775,2022
"16","Black (non-Hispanic or Latino)","Citizen",12450,697.012197818955,879026,4845.86643233767,1.41634035853319,2012
"17","Black (non-Hispanic or Latino)","Not a Citizen",14668,844.42920709917,879026,4845.86643233767,1.66866509067991,2012
"18","Black (non-Hispanic or Latino)","Unknown",851908,4766.03858388641,879026,4845.86643233767,96.9149945507869,2012
"19","Mexican","Citizen",74074,1554.80467269343,572493,4281.12215553293,12.9388481605889,2012
"20","Mexican","Not a Citizen",188007,2673.44223701541,572493,4281.12215553293,32.8400521927779,2012
"21","Mexican","Unknown",310412,3244.89352341197,572493,4281.12215553293,54.2210996466332,2012
"22","Other (non-Hispanic or Latino)","Citizen",57777,1398.0050918151,190636,2660.11208364992,30.3074970100086,2012
"23","Other (non-Hispanic or Latino)","Not a Citizen",51520,1492.42674872065,190636,2660.11208364992,27.0253257516943,2012
"24","Other (non-Hispanic or Latino)","Unknown",81339,1764.76492179162,190636,2660.11208364992,42.6671772382971,2012
"25","Other Hispanic/Latino","Citizen",23965,911.235494129134,194483,2629.71355740885,12.3224137842382,2012
"26","Other Hispanic/Latino","Not a Citizen",29055,1092.27854874167,194483,2629.71355740885,14.9396091175064,2012
"27","Other Hispanic/Latino","Unknown",141463,2245.86262063917,194483,2629.71355740885,72.7379770982554,2012
"28","White (non-Hispanic or Latino)","Citizen",75517,1581.90671639087,853734,4495.70691562186,8.84549520108137,2012
"29","White (non-Hispanic or Latino)","Not a Citizen",57994,1454.20559043541,853734,4495.70691562186,6.79298235750245,2012
"30","White (non-Hispanic or Latino)","Unknown",720223,4178.24476751786,853734,4495.70691562186,84.3615224414162,2012
"31","Black (non-Hispanic or Latino)","Citizen",11862,1495.27612708724,1070458,11084.7185386593,1.10812381242421,2000
"32","Black (non-Hispanic or Latino)","Not a Citizen",12070,1419.3423846095,1070458,11084.7185386593,1.12755474759402,2000
"33","Black (non-Hispanic or Latino)","Unknown",1046526,10994.8619559771,1070458,11084.7185386593,97.7643214399818,2000
"34","Mexican","Citizen",75737,3363.95549685713,542155,8233.33489705899,13.96962123378,2000
"35","Mexican","Not a Citizen",212867,5471.73239652993,542155,8233.33489705899,39.2631258588411,2000
"36","Mexican","Unknown",253551,5879.32472054372,542155,8233.33489705899,46.7672529073789,2000
"37","Other (non-Hispanic or Latino)","Citizen",54262,2981.90308304493,181480,5228.95298692595,29.8997134670487,2000
"38","Other (non-Hispanic or Latino)","Not a Citizen",59677,3056.16517029629,181480,5228.95298692595,32.8835133348027,2000
"39","Other (non-Hispanic or Latino)","Unknown",67541,3177.08030667677,181480,5228.95298692595,37.2167731981486,2000
"40","Other Hispanic/Latino","Citizen",26781,2158.8857135361,211793,5747.02478822743,12.6448938350182,2000
"41","Other Hispanic/Latino","Not a Citizen",38864,2658.40857956467,211793,5747.02478822743,18.3499926815334,2000
"42","Other Hispanic/Latino","Unknown",146148,4717.75843288585,211793,5747.02478822743,69.0051134834485,2000
"43","White (non-Hispanic or Latino)","Citizen",81848,3470.12166222251,911329,9826.66290567643,8.98116925940028,2000
"44","White (non-Hispanic or Latino)","Not a Citizen",90123,3719.35421596284,911329,9826.66290567643,9.88918381835759,2000
"45","White (non-Hispanic or Latino)","Unknown",739358,9099.01223456284,911329,9826.66290567643,81.1296469222421,2000
