"","group","age_group","weighted_population","weighted_percentage"
"1","Cuban","0-9",1356,14.5556032632031
"2","Cuban","10-19",839,9.00601116358952
"3","Cuban","20-29",1818,19.5148132245599
"4","Cuban","30-39",1636,17.5611850579648
"5","Cuban","40-49",712,7.64276513525118
"6","Cuban","50-59",930,9.98282524688708
"7","Cuban","60-69",1110,11.914984972091
"8","Cuban","70-79",654,7.02018033490769
"9","Cuban","80+",261,2.80163160154573
"10","Mexican","0-9",81444,13.9048425538308
"11","Mexican","10-19",100899,17.2263728308896
"12","Mexican","20-29",102707,17.5350506381845
"13","Mexican","30-39",86328,14.7386823828288
"14","Mexican","40-49",81197,13.8626725215289
"15","Mexican","50-59",61572,10.5121183355983
"16","Mexican","60-69",39439,6.73337612937151
"17","Mexican","70-79",24596,4.19924742711584
"18","Mexican","80+",7542,1.28763718065164
"19","Puerto Rican","0-9",13065,13.6551767386442
"20","Puerto Rican","10-19",12706,13.2799598653818
"21","Puerto Rican","20-29",13128,13.7210225966262
"22","Puerto Rican","30-39",13179,13.7743263864211
"23","Puerto Rican","40-49",13417,14.0230774054642
"24","Puerto Rican","50-59",11833,12.3675244047743
"25","Puerto Rican","60-69",9905,10.3524321160559
"26","Puerto Rican","70-79",5370,5.61257551370221
"27","Puerto Rican","80+",3075,3.21390497293004
"28","Black/African American","0-9",89979,11.5551908399888
"29","Black/African American","10-19",99545,12.7836658794461
"30","Black/African American","20-29",118632,15.2348370145206
"31","Black/African American","30-39",103334,13.2702529507929
"32","Black/African American","40-49",90910,11.6747507669943
"33","Black/African American","50-59",98038,12.5901354712857
"34","Black/African American","60-69",93149,11.962285328289
"35","Black/African American","70-79",55574,7.13686722170212
"36","Black/African American","80+",29528,3.7920145269806
"37","White","0-9",68411,7.73366554109432
"38","White","10-19",57378,6.48641682502682
"39","White","20-29",172033,19.447832717415
"40","White","30-39",189610,21.4348616925187
"41","White","40-49",107786,12.1848953240326
"42","White","50-59",102515,11.5890240304232
"43","White","60-69",94510,10.6840819501078
"44","White","70-79",57994,6.55605384207545
"45","White","80+",34350,3.88316807730613
