"","GEOID","Census","county","state","Mexican","Puerto Rican","Cuban","Dominican","Central American","South American","Other Hispanic or Latino"
"1","17197881500","Census Tract 8815","Will County","Illinois",1147,34,0,0,0,63,0
"2","17197881800","Census Tract 8818","Will County","Illinois",2006,16,0,0,35,0,19
"3","17197881115","Census Tract 8811.15","Will County","Illinois",55,5,0,0,63,34,96
"4","17037000300","Census Tract 3","DeKalb County","Illinois",371,32,1,0,8,0,0
"5","17031822400","Census Tract 8224","Cook County","Illinois",1167,0,15,0,0,0,0
"6","17031740100","Census Tract 7401","Cook County","Illinois",259,122,0,0,0,0,120
"7","17031828100","Census Tract 8281","Cook County","Illinois",926,25,0,0,40,88,67
"8","17031826600","Census Tract 8266","Cook County","Illinois",817,0,0,0,0,0,0
"9","17031720500","Census Tract 7205","Cook County","Illinois",182,0,0,0,0,0,0
"10","17031750300","Census Tract 7503","Cook County","Illinois",33,48,0,0,0,6,0
"11","17031826500","Census Tract 8265","Cook County","Illinois",27,0,0,0,0,0,0
"12","17031825504","Census Tract 8255.04","Cook County","Illinois",151,50,0,0,0,0,0
"13","17031827100","Census Tract 8271","Cook County","Illinois",324,6,0,0,0,0,0
"14","17031824900","Census Tract 8249","Cook County","Illinois",489,27,0,0,0,0,0
"15","17031819900","Census Tract 8199","Cook County","Illinois",139,0,0,0,0,0,18
"16","17031819300","Census Tract 8193","Cook County","Illinois",552,74,0,0,0,0,0
"17","17031530503","Census Tract 5305.03","Cook County","Illinois",112,0,0,0,0,0,0
"18","17031817900","Census Tract 8179","Cook County","Illinois",444,41,13,0,91,0,0
"19","17031817300","Census Tract 8173","Cook County","Illinois",853,105,0,0,0,242,0
"20","17031815800","Census Tract 8158","Cook County","Illinois",181,34,47,0,0,0,0
"21","17031720600","Census Tract 7206","Cook County","Illinois",13,0,0,0,0,0,0
"22","17031720300","Census Tract 7203","Cook County","Illinois",152,39,0,0,0,0,9
"23","17031691400","Census Tract 6914","Cook County","Illinois",62,0,0,0,0,0,51
"24","17031813301","Census Tract 8133.01","Cook County","Illinois",2655,276,0,0,178,0,0
"25","17031813000","Census Tract 8130","Cook County","Illinois",298,101,0,0,0,57,9
"26","17031812100","Census Tract 8121","Cook County","Illinois",77,96,13,0,11,92,0
