"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"1","G1700310000000","Illinois","17031",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"2","G1700310010100","Illinois","17031",2000,559,73,11,0,43,13,73,772,1,23,4,2,3,7,3,1,0,2,3,1,0,1,0,3,2,1,7,0,65,"Cook"
"3","G1700310010200","Illinois","17031",2000,3170,158,35,6,113,65,242,3789,1,35,24,1,8,41,3,2,10,4,9,11,2,22,1,2,2,2,9,0,231,"Cook"
"4","G1700310010300","Illinois","17031",2000,703,104,11,0,74,34,97,1023,2,18,12,1,1,22,18,0,1,6,14,2,0,9,0,1,1,0,5,0,92,"Cook"
"5","G1700310010400","Illinois","17031",2000,225,52,28,0,24,39,71,439,1,10,0,3,2,6,2,6,2,1,11,13,1,2,0,1,2,3,5,0,63,"Cook"
"6","G1700310010500","Illinois","17031",2000,1304,172,36,10,98,72,167,1859,7,35,17,1,10,23,5,5,2,5,26,14,0,14,0,6,0,1,15,3,148,"Cook"
"7","G1700310010600","Illinois","17031",2000,1519,95,40,2,100,92,158,2006,3,23,12,0,2,46,14,7,1,1,41,2,0,35,0,0,5,5,19,0,134,"Cook"
"8","G1700310010700","Illinois","17031",2000,3766,161,34,1,215,89,300,4566,2,47,18,3,16,118,11,1,2,0,21,48,0,13,0,1,3,3,31,4,262,"Cook"
"9","G1700310010800","Illinois","17031",2000,2440,62,20,0,88,66,141,2817,1,35,12,6,0,30,4,1,0,0,21,33,0,8,0,3,0,1,16,0,124,"Cook"
"10","G1700310010900","Illinois","17031",2000,280,13,8,0,21,14,32,368,0,4,3,0,0,12,2,0,1,0,4,6,0,3,0,0,0,1,1,0,30,"Cook"
"11","G1700310020100","Illinois","17031",2000,446,36,8,0,61,51,81,683,2,41,0,2,2,9,5,1,1,1,23,3,0,21,1,0,0,0,2,1,78,"Cook"
"12","G1700310020200","Illinois","17031",2000,233,57,35,2,36,68,119,550,0,17,3,1,0,15,0,3,3,2,23,20,0,13,0,0,4,7,5,2,105,"Cook"
"13","G1700310020300","Illinois","17031",2000,384,47,50,0,27,51,86,645,0,18,1,0,0,8,0,0,1,9,15,17,0,7,0,0,2,2,4,3,77,"Cook"
"14","G1700310020400","Illinois","17031",2000,476,38,12,1,68,65,107,767,0,35,1,0,2,22,8,0,3,4,28,9,0,8,0,6,7,4,12,0,91,"Cook"
"15","G1700310020500","Illinois","17031",2000,865,98,36,1,97,131,197,1425,8,45,17,4,6,12,5,0,9,0,74,24,0,19,0,2,3,0,33,0,164,"Cook"
"16","G1700310020600","Illinois","17031",2000,867,158,61,4,130,150,179,1549,0,44,8,0,2,73,3,4,10,11,31,55,1,31,0,0,7,3,4,1,171,"Cook"
"17","G1700310020700","Illinois","17031",2000,497,125,65,3,72,102,107,971,1,42,19,1,2,5,2,0,0,6,40,37,0,10,0,4,5,4,4,0,99,"Cook"
"18","G1700310020800","Illinois","17031",2000,1284,242,141,5,244,207,363,2486,12,114,28,0,0,72,18,2,3,8,89,40,0,57,1,3,4,4,33,0,326,"Cook"
"19","G1700310020900","Illinois","17031",2000,1378,192,80,4,194,141,288,2277,0,134,23,1,10,20,6,6,0,0,38,45,0,41,0,6,5,6,36,3,243,"Cook"
"20","G1700310030100","Illinois","17031",2000,978,169,43,13,75,126,179,1583,7,36,6,0,9,4,13,8,7,9,41,19,0,24,4,8,6,4,19,0,156,"Cook"
"21","G1700310030200","Illinois","17031",2000,522,108,45,9,54,65,166,969,9,38,0,1,4,2,0,0,0,6,25,19,0,9,0,2,4,5,17,3,141,"Cook"
"22","G1700310030300","Illinois","17031",2000,889,98,31,1,98,85,134,1336,1,65,5,1,2,17,7,4,0,1,43,17,0,18,1,0,1,1,4,0,129,"Cook"
"23","G1700310030400","Illinois","17031",2000,780,91,103,0,93,77,107,1251,2,47,2,0,0,32,10,5,3,6,16,20,0,21,3,0,3,0,10,0,97,"Cook"
"24","G1700310030500","Illinois","17031",2000,1890,165,76,11,285,94,350,2871,7,139,15,0,3,104,17,1,0,1,28,48,0,10,0,5,1,5,24,0,321,"Cook"
"25","G1700310030600","Illinois","17031",2000,848,123,65,9,33,118,102,1298,0,25,2,0,4,0,2,12,9,4,40,21,1,20,2,4,5,8,8,0,86,"Cook"
"26","G1700310030700","Illinois","17031",2000,660,123,32,0,92,95,179,1181,2,61,6,1,4,17,1,8,0,0,16,45,0,9,0,7,10,3,6,0,170,"Cook"
"27","G1700310030800","Illinois","17031",2000,373,45,45,3,53,50,82,651,11,34,1,0,0,5,2,1,0,1,11,17,1,13,0,2,4,8,8,0,66,"Cook"
"28","G1700310030900","Illinois","17031",2000,545,93,77,2,96,93,130,1036,0,57,7,1,0,31,0,0,1,0,15,51,0,21,0,0,5,1,14,2,113,"Cook"
"29","G1700310031000","Illinois","17031",2000,937,126,38,0,198,62,177,1538,10,129,29,1,3,19,7,0,0,3,19,39,0,1,0,0,0,2,10,0,165,"Cook"
"30","G1700310031100","Illinois","17031",2000,410,87,64,1,103,46,70,781,5,65,5,6,4,11,7,3,1,0,8,13,0,14,1,6,0,5,6,0,59,"Cook"
