"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"1","G1700310010100","Illinois","17031",2010,616,372,102,14,12,46,0,24,7,1,0,6,8,36,4,0,2,8,10,0,3,0,5,4,34,7,2,0,25,"Cook"
"2","G1700310010201","Illinois","17031",2010,2049,1638,133,23,6,120,0,64,10,1,5,37,3,50,3,1,6,8,4,0,19,3,3,3,79,8,21,1,49,"Cook"
"3","G1700310010202","Illinois","17031",2010,789,639,46,4,7,34,0,17,5,1,1,10,0,34,6,0,2,7,10,0,7,0,2,0,25,4,4,0,17,"Cook"
"4","G1700310010300","Illinois","17031",2010,1169,825,89,22,5,89,7,36,9,1,5,30,1,69,7,3,2,14,15,1,14,5,5,3,70,4,9,0,57,"Cook"
"5","G1700310010400","Illinois","17031",2010,480,262,64,31,9,26,3,14,1,1,2,4,1,63,8,1,1,17,19,0,14,0,3,0,25,8,6,0,11,"Cook"
"6","G1700310010501","Illinois","17031",2010,506,316,61,10,3,52,4,15,18,0,4,10,1,46,6,0,1,19,8,0,5,5,2,0,18,4,2,0,12,"Cook"
"7","G1700310010502","Illinois","17031",2010,340,189,46,13,5,34,0,14,2,5,5,2,6,34,4,1,3,14,2,0,2,0,6,2,19,2,5,0,12,"Cook"
"8","G1700310010503","Illinois","17031",2010,245,128,23,7,4,27,3,15,5,0,1,3,0,44,1,0,2,19,9,0,11,1,1,0,12,3,2,0,7,"Cook"
"9","G1700310010600","Illinois","17031",2010,1153,794,90,34,8,89,2,38,10,2,6,31,0,88,12,0,6,25,13,0,19,0,11,2,50,11,12,0,27,"Cook"
"10","G1700310010701","Illinois","17031",2010,1463,1187,56,11,1,94,1,56,4,2,0,31,0,46,1,9,1,10,13,0,9,0,1,2,68,18,1,0,49,"Cook"
"11","G1700310010702","Illinois","17031",2010,2423,2074,70,18,7,120,0,36,19,2,0,60,3,61,6,0,3,17,11,0,16,2,6,0,73,5,4,0,64,"Cook"
"12","G1700310020100","Illinois","17031",2010,952,678,71,18,0,84,6,47,12,5,2,12,0,70,6,0,2,17,15,0,27,0,2,1,31,3,6,0,22,"Cook"
"13","G1700310020200","Illinois","17031",2010,943,673,57,24,3,52,0,14,8,6,1,23,0,94,3,7,9,25,26,0,20,1,3,0,40,7,10,1,22,"Cook"
"14","G1700310020301","Illinois","17031",2010,289,173,14,12,2,19,0,8,1,0,1,9,0,37,2,5,1,11,13,0,2,2,1,0,32,3,6,0,23,"Cook"
"15","G1700310020302","Illinois","17031",2010,952,706,68,36,5,35,0,26,1,1,0,6,1,73,2,1,5,26,32,0,6,1,0,0,29,6,0,0,23,"Cook"
