"","GEOID","Census","COUNTY","state","total_pop","total_his","Mexican","YEAR","state_county"
"1","17031010100","Census Tract 101","Cook County","Illinois",4284,920,466,"2018-2022","17031"
"2","17031010201","Census Tract 102.01","Cook County","Illinois",8210,2003,1594,"2018-2022","17031"
"3","17031010202","Census Tract 102.02","Cook County","Illinois",2865,556,480,"2018-2022","17031"
"4","17031010300","Census Tract 103","Cook County","Illinois",6237,1056,782,"2018-2022","17031"
"5","17031010400","Census Tract 104","Cook County","Illinois",4473,378,176,"2018-2022","17031"
"6","17031010501","Census Tract 105.01","Cook County","Illinois",3913,230,156,"2018-2022","17031"
"7","17031010502","Census Tract 105.02","Cook County","Illinois",3407,571,260,"2018-2022","17031"
"8","17031010503","Census Tract 105.03","Cook County","Illinois",2417,30,19,"2018-2022","17031"
"9","17031010600","Census Tract 106","Cook County","Illinois",6379,890,681,"2018-2022","17031"
"10","17031010701","Census Tract 107.01","Cook County","Illinois",3590,1097,719,"2018-2022","17031"
"11","17031010702","Census Tract 107.02","Cook County","Illinois",5148,1779,1265,"2018-2022","17031"
"12","17031020100","Census Tract 201","Cook County","Illinois",3927,1027,791,"2018-2022","17031"
"13","17031020200","Census Tract 202","Cook County","Illinois",7203,2142,1296,"2018-2022","17031"
"14","17031020301","Census Tract 203.01","Cook County","Illinois",5432,347,197,"2018-2022","17031"
"15","17031020302","Census Tract 203.02","Cook County","Illinois",5201,652,472,"2018-2022","17031"
"16","17031020400","Census Tract 204","Cook County","Illinois",4256,1503,1191,"2018-2022","17031"
"17","17031020500","Census Tract 205","Cook County","Illinois",6646,1059,847,"2018-2022","17031"
"18","17031020601","Census Tract 206.01","Cook County","Illinois",5868,809,692,"2018-2022","17031"
"19","17031020602","Census Tract 206.02","Cook County","Illinois",5343,1387,1223,"2018-2022","17031"
"20","17031020701","Census Tract 207.01","Cook County","Illinois",1728,263,111,"2018-2022","17031"
"21","17031020702","Census Tract 207.02","Cook County","Illinois",8412,1974,1296,"2018-2022","17031"
"22","17031020801","Census Tract 208.01","Cook County","Illinois",5990,1933,1013,"2018-2022","17031"
"23","17031020802","Census Tract 208.02","Cook County","Illinois",8715,2216,1290,"2018-2022","17031"
"24","17031020901","Census Tract 209.01","Cook County","Illinois",6179,1586,1257,"2018-2022","17031"
"25","17031020902","Census Tract 209.02","Cook County","Illinois",4365,642,432,"2018-2022","17031"
"26","17031030101","Census Tract 301.01","Cook County","Illinois",3517,354,143,"2018-2022","17031"
"27","17031030102","Census Tract 301.02","Cook County","Illinois",3052,368,224,"2018-2022","17031"
"28","17031030103","Census Tract 301.03","Cook County","Illinois",2297,449,219,"2018-2022","17031"
"29","17031030104","Census Tract 301.04","Cook County","Illinois",3106,465,162,"2018-2022","17031"
"30","17031030200","Census Tract 302","Cook County","Illinois",5554,1284,707,"2018-2022","17031"
"31","17031030300","Census Tract 303","Cook County","Illinois",3642,1058,369,"2018-2022","17031"
"32","17031030400","Census Tract 304","Cook County","Illinois",2822,710,351,"2018-2022","17031"
"33","17031030500","Census Tract 305","Cook County","Illinois",6344,1290,448,"2018-2022","17031"
"34","17031030601","Census Tract 306.01","Cook County","Illinois",3771,241,147,"2018-2022","17031"
"35","17031030603","Census Tract 306.03","Cook County","Illinois",2305,276,194,"2018-2022","17031"
"36","17031030604","Census Tract 306.04","Cook County","Illinois",2921,251,123,"2018-2022","17031"
"37","17031030701","Census Tract 307.01","Cook County","Illinois",1509,184,99,"2018-2022","17031"
"38","17031030702","Census Tract 307.02","Cook County","Illinois",2266,292,171,"2018-2022","17031"
"39","17031030703","Census Tract 307.03","Cook County","Illinois",3093,546,174,"2018-2022","17031"
"40","17031030706","Census Tract 307.06","Cook County","Illinois",2588,106,34,"2018-2022","17031"
"41","17031030800","Census Tract 308","Cook County","Illinois",4236,440,274,"2018-2022","17031"
"42","17031030900","Census Tract 309","Cook County","Illinois",3076,381,101,"2018-2022","17031"
"43","17031031000","Census Tract 310","Cook County","Illinois",3652,606,218,"2018-2022","17031"
"44","17031031100","Census Tract 311","Cook County","Illinois",4898,358,274,"2018-2022","17031"
"45","17031031200","Census Tract 312","Cook County","Illinois",5936,1368,1041,"2018-2022","17031"
"46","17031031300","Census Tract 313","Cook County","Illinois",6853,909,301,"2018-2022","17031"
"47","17031031400","Census Tract 314","Cook County","Illinois",4685,347,197,"2018-2022","17031"
"48","17031031501","Census Tract 315.01","Cook County","Illinois",4640,548,194,"2018-2022","17031"
"49","17031031502","Census Tract 315.02","Cook County","Illinois",4622,773,376,"2018-2022","17031"
"50","17031031700","Census Tract 317","Cook County","Illinois",6119,608,217,"2018-2022","17031"
"51","17031031800","Census Tract 318","Cook County","Illinois",2114,386,258,"2018-2022","17031"
"52","17031031900","Census Tract 319","Cook County","Illinois",2417,232,204,"2018-2022","17031"
"53","17031032100","Census Tract 321","Cook County","Illinois",7279,1388,907,"2018-2022","17031"
"54","17031040100","Census Tract 401","Cook County","Illinois",4011,734,437,"2018-2022","17031"
"55","17031040201","Census Tract 402.01","Cook County","Illinois",6688,1023,695,"2018-2022","17031"
"56","17031040202","Census Tract 402.02","Cook County","Illinois",7965,2760,1583,"2018-2022","17031"
"57","17031040300","Census Tract 403","Cook County","Illinois",3063,752,422,"2018-2022","17031"
"58","17031040401","Census Tract 404.01","Cook County","Illinois",3431,794,548,"2018-2022","17031"
"59","17031040402","Census Tract 404.02","Cook County","Illinois",4581,749,285,"2018-2022","17031"
"60","17031040600","Census Tract 406","Cook County","Illinois",2785,426,252,"2018-2022","17031"
"61","17031040700","Census Tract 407","Cook County","Illinois",3749,291,164,"2018-2022","17031"
"62","17031040800","Census Tract 408","Cook County","Illinois",1577,299,138,"2018-2022","17031"
"63","17031040900","Census Tract 409","Cook County","Illinois",2006,265,153,"2018-2022","17031"
"64","17031050100","Census Tract 501","Cook County","Illinois",2513,148,54,"2018-2022","17031"
"65","17031050200","Census Tract 502","Cook County","Illinois",5546,791,481,"2018-2022","17031"
"66","17031050300","Census Tract 503","Cook County","Illinois",2829,493,342,"2018-2022","17031"
"67","17031050500","Census Tract 505","Cook County","Illinois",5199,271,183,"2018-2022","17031"
"68","17031050600","Census Tract 506","Cook County","Illinois",2232,163,26,"2018-2022","17031"
"69","17031050700","Census Tract 507","Cook County","Illinois",1456,163,143,"2018-2022","17031"
"70","17031050800","Census Tract 508","Cook County","Illinois",1398,319,79,"2018-2022","17031"
"71","17031050900","Census Tract 509","Cook County","Illinois",1388,239,156,"2018-2022","17031"
"72","17031051000","Census Tract 510","Cook County","Illinois",1707,203,110,"2018-2022","17031"
"73","17031051100","Census Tract 511","Cook County","Illinois",1905,378,193,"2018-2022","17031"
"74","17031051200","Census Tract 512","Cook County","Illinois",1576,153,75,"2018-2022","17031"
"75","17031051300","Census Tract 513","Cook County","Illinois",3077,527,127,"2018-2022","17031"
"76","17031051400","Census Tract 514","Cook County","Illinois",2535,299,130,"2018-2022","17031"
"77","17031060100","Census Tract 601","Cook County","Illinois",3178,360,221,"2018-2022","17031"
"78","17031060200","Census Tract 602","Cook County","Illinois",2147,373,173,"2018-2022","17031"
"79","17031060300","Census Tract 603","Cook County","Illinois",2821,420,282,"2018-2022","17031"
"80","17031060400","Census Tract 604","Cook County","Illinois",3691,357,112,"2018-2022","17031"
