"","GISJOIN","YEAR","STATE","COUNTY","state_county","Mexican","total_pop","total_his"
"1","G17003100101",1990,"Illinois","Cook","17031",1264,6412,1707
"2","G17003100102",1990,"Illinois","Cook","17031",1249,9181,1677
"3","G17003100103",1990,"Illinois","Cook","17031",537,6835,771
"4","G17003100104",1990,"Illinois","Cook","17031",138,5670,282
"5","G17003100105",1990,"Illinois","Cook","17031",740,10033,1229
"6","G17003100106",1990,"Illinois","Cook","17031",1079,7182,1535
"7","G17003100107",1990,"Illinois","Cook","17031",1878,9450,2740
"8","G17003100108",1990,"Illinois","Cook","17031",1401,4428,1823
"9","G17003100109",1990,"Illinois","Cook","17031",151,1187,241
"10","G17003100201",1990,"Illinois","Cook","17031",161,3225,354
"11","G17003100202",1990,"Illinois","Cook","17031",87,5805,343
"12","G17003100203",1990,"Illinois","Cook","17031",138,8681,341
"13","G17003100204",1990,"Illinois","Cook","17031",107,3653,286
"14","G17003100205",1990,"Illinois","Cook","17031",208,6040,700
"15","G17003100206",1990,"Illinois","Cook","17031",230,9166,558
"16","G17003100207",1990,"Illinois","Cook","17031",167,7931,485
"17","G17003100208",1990,"Illinois","Cook","17031",386,11524,1196
"18","G17003100209",1990,"Illinois","Cook","17031",420,9349,1135
"19","G17003100301",1990,"Illinois","Cook","17031",564,12101,1094
"20","G17003100302",1990,"Illinois","Cook","17031",328,6128,786
"21","G17003100303",1990,"Illinois","Cook","17031",389,3429,680
"22","G17003100304",1990,"Illinois","Cook","17031",599,3045,1026
"23","G17003100305",1990,"Illinois","Cook","17031",1721,8372,3114
"24","G17003100306",1990,"Illinois","Cook","17031",616,9524,1083
"25","G17003100307",1990,"Illinois","Cook","17031",643,9619,1093
"26","G17003100308",1990,"Illinois","Cook","17031",344,5049,802
"27","G17003100309",1990,"Illinois","Cook","17031",372,3436,889
"28","G17003100310",1990,"Illinois","Cook","17031",1085,5195,2225
"29","G17003100311",1990,"Illinois","Cook","17031",786,5878,1582
"30","G17003100312",1990,"Illinois","Cook","17031",712,6463,1147
"31","G17003100313",1990,"Illinois","Cook","17031",192,7246,374
"32","G17003100314",1990,"Illinois","Cook","17031",142,5526,305
"33","G17003100315",1990,"Illinois","Cook","17031",1086,9571,1634
"34","G17003100316",1990,"Illinois","Cook","17031",265,2902,496
"35","G17003100317",1990,"Illinois","Cook","17031",1357,7605,2168
"36","G17003100318",1990,"Illinois","Cook","17031",644,2153,1057
"37","G17003100319",1990,"Illinois","Cook","17031",634,2817,1087
"38","G17003100320",1990,"Illinois","Cook","17031",288,778,421
"39","G17003100321",1990,"Illinois","Cook","17031",1242,7705,1902
"40","G17003100401",1990,"Illinois","Cook","17031",419,4256,899
"41","G17003100402",1990,"Illinois","Cook","17031",770,14270,2226
"42","G17003100403",1990,"Illinois","Cook","17031",117,3225,293
"43","G17003100404",1990,"Illinois","Cook","17031",1293,9202,2867
"44","G17003100405",1990,"Illinois","Cook","17031",276,1263,521
"45","G17003100406",1990,"Illinois","Cook","17031",286,2905,676
"46","G17003100407",1990,"Illinois","Cook","17031",565,3871,1285
"47","G17003100408",1990,"Illinois","Cook","17031",210,1792,420
"48","G17003100409",1990,"Illinois","Cook","17031",249,2242,469
"49","G17003100410",1990,"Illinois","Cook","17031",377,1865,697
"50","G17003100501",1990,"Illinois","Cook","17031",240,2493,553
"51","G17003100502",1990,"Illinois","Cook","17031",612,4915,1161
"52","G17003100503",1990,"Illinois","Cook","17031",246,2558,601
"53","G17003100504",1990,"Illinois","Cook","17031",49,701,110
"54","G17003100505",1990,"Illinois","Cook","17031",256,4963,587
"55","G17003100506",1990,"Illinois","Cook","17031",174,1804,363
"56","G17003100507",1990,"Illinois","Cook","17031",217,1296,348
"57","G17003100508",1990,"Illinois","Cook","17031",209,1404,356
"58","G17003100509",1990,"Illinois","Cook","17031",211,1540,464
"59","G17003100510",1990,"Illinois","Cook","17031",307,1460,566
"60","G17003100511",1990,"Illinois","Cook","17031",357,1601,574
"61","G17003100512",1990,"Illinois","Cook","17031",381,1747,601
"62","G17003100513",1990,"Illinois","Cook","17031",490,2224,882
"63","G17003100514",1990,"Illinois","Cook","17031",532,2889,1234
"64","G17003100515",1990,"Illinois","Cook","17031",371,1415,648
"65","G17003100601",1990,"Illinois","Cook","17031",380,2596,794
"66","G17003100602",1990,"Illinois","Cook","17031",640,2529,1000
"67","G17003100603",1990,"Illinois","Cook","17031",354,2902,719
"68","G17003100604",1990,"Illinois","Cook","17031",284,2845,683
