"","GISJOIN","STATE","COUNTY","state_county","YEAR","Mexican","Puerto Rican","Cuban","Guatemalan","Colombian","Ecuadorian","total_pop","total_his"
"1","G1700310000000","Illinois","Cook","17031",2000,0,0,0,0,0,0,0,0
"2","G1700310010100","Illinois","Cook","17031",2000,559,73,11,23,3,1,5391,772
"3","G1700310010200","Illinois","Cook","17031",2000,3170,158,35,35,9,11,10706,3789
"4","G1700310010300","Illinois","Cook","17031",2000,703,104,11,18,14,2,6649,1023
"5","G1700310010400","Illinois","Cook","17031",2000,225,52,28,10,11,13,5325,439
"6","G1700310010500","Illinois","Cook","17031",2000,1304,172,36,35,26,14,10944,1859
"7","G1700310010600","Illinois","Cook","17031",2000,1519,95,40,23,41,2,7178,2006
"8","G1700310010700","Illinois","Cook","17031",2000,3766,161,34,47,21,48,10799,4566
"9","G1700310010800","Illinois","Cook","17031",2000,2440,62,20,35,21,33,5346,2817
"10","G1700310010900","Illinois","Cook","17031",2000,280,13,8,4,4,6,1146,368
"11","G1700310020100","Illinois","Cook","17031",2000,446,36,8,41,23,3,3634,683
"12","G1700310020200","Illinois","Cook","17031",2000,233,57,35,17,23,20,6349,550
"13","G1700310020300","Illinois","Cook","17031",2000,384,47,50,18,15,17,8939,645
"14","G1700310020400","Illinois","Cook","17031",2000,476,38,12,35,28,9,4024,767
"15","G1700310020500","Illinois","Cook","17031",2000,865,98,36,45,74,24,7084,1425
"16","G1700310020600","Illinois","Cook","17031",2000,867,158,61,44,31,55,10520,1549
"17","G1700310020700","Illinois","Cook","17031",2000,497,125,65,42,40,37,8824,971
"18","G1700310020800","Illinois","Cook","17031",2000,1284,242,141,114,89,40,13163,2486
"19","G1700310020900","Illinois","Cook","17031",2000,1378,192,80,134,38,45,10662,2277
"20","G1700310030100","Illinois","Cook","17031",2000,978,169,43,36,41,19,13456,1583
"21","G1700310030200","Illinois","Cook","17031",2000,522,108,45,38,25,19,5906,969
"22","G1700310030300","Illinois","Cook","17031",2000,889,98,31,65,43,17,3692,1336
"23","G1700310030400","Illinois","Cook","17031",2000,780,91,103,47,16,20,3163,1251
"24","G1700310030500","Illinois","Cook","17031",2000,1890,165,76,139,28,48,7611,2871
"25","G1700310030600","Illinois","Cook","17031",2000,848,123,65,25,40,21,10001,1298
"26","G1700310030700","Illinois","Cook","17031",2000,660,123,32,61,16,45,10044,1181
"27","G1700310030800","Illinois","Cook","17031",2000,373,45,45,34,11,17,4712,651
"28","G1700310030900","Illinois","Cook","17031",2000,545,93,77,57,15,51,3613,1036
"29","G1700310031000","Illinois","Cook","17031",2000,937,126,38,129,19,39,4358,1538
"30","G1700310031100","Illinois","Cook","17031",2000,410,87,64,65,8,13,5065,781
"31","G1700310031200","Illinois","Cook","17031",2000,717,104,29,47,2,67,6190,1118
"32","G1700310031300","Illinois","Cook","17031",2000,258,102,29,13,13,13,7598,550
"33","G1700310031400","Illinois","Cook","17031",2000,139,59,25,4,22,1,6084,361
"34","G1700310031500","Illinois","Cook","17031",2000,1381,166,25,68,15,67,10184,1950
"35","G1700310031600","Illinois","Cook","17031",2000,238,75,46,11,9,285,3547,786
"36","G1700310031700","Illinois","Cook","17031",2000,1470,280,38,109,15,105,7471,2319
"37","G1700310031800","Illinois","Cook","17031",2000,444,54,23,33,2,22,1984,695
"38","G1700310031900","Illinois","Cook","17031",2000,423,112,9,65,8,19,2505,758
"39","G1700310032000","Illinois","Cook","17031",2000,256,28,2,15,1,6,894,336
"40","G1700310032100","Illinois","Cook","17031",2000,1011,177,41,38,10,29,7671,1482
"41","G1700310040100","Illinois","Cook","17031",2000,878,100,69,132,57,23,4611,1595
"42","G1700310040200","Illinois","Cook","17031",2000,1764,462,116,224,194,106,15359,3643
"43","G1700310040300","Illinois","Cook","17031",2000,213,63,28,7,37,38,3381,507
"44","G1700310040400","Illinois","Cook","17031",2000,1624,296,76,206,111,28,8504,2805
"45","G1700310040500","Illinois","Cook","17031",2000,109,27,12,11,4,4,915,199
"46","G1700310040600","Illinois","Cook","17031",2000,319,101,28,42,16,11,2738,649
"47","G1700310040700","Illinois","Cook","17031",2000,743,112,23,55,15,34,3588,1157
"48","G1700310040800","Illinois","Cook","17031",2000,145,59,6,29,6,1,1778,334
"49","G1700310040900","Illinois","Cook","17031",2000,230,48,3,49,15,14,2073,411
"50","G1700310041000","Illinois","Cook","17031",2000,360,48,12,25,16,4,1627,531
"51","G1700310050100","Illinois","Cook","17031",2000,147,72,9,26,13,15,2299,358
"52","G1700310050200","Illinois","Cook","17031",2000,460,119,28,69,59,32,4567,913
"53","G1700310050300","Illinois","Cook","17031",2000,283,95,7,46,32,32,2354,604
"54","G1700310050400","Illinois","Cook","17031",2000,71,43,8,4,4,11,659,184
"55","G1700310050500","Illinois","Cook","17031",2000,236,105,26,19,15,4,4771,463
"56","G1700310050600","Illinois","Cook","17031",2000,101,52,6,12,9,3,1953,213
"57","G1700310050700","Illinois","Cook","17031",2000,134,64,1,13,1,0,1552,243
"58","G1700310050800","Illinois","Cook","17031",2000,152,32,2,2,4,1,1261,212
"59","G1700310050900","Illinois","Cook","17031",2000,188,121,3,8,8,18,1472,389
"60","G1700310051000","Illinois","Cook","17031",2000,247,62,7,32,1,9,1384,420
"61","G1700310051100","Illinois","Cook","17031",2000,213,75,5,11,7,2,1451,364
"62","G1700310051200","Illinois","Cook","17031",2000,211,39,4,8,4,1,1613,303
"63","G1700310051300","Illinois","Cook","17031",2000,266,112,8,21,7,5,2527,467
"64","G1700310051400","Illinois","Cook","17031",2000,320,272,6,23,1,9,2657,742
"65","G1700310051500","Illinois","Cook","17031",2000,406,115,8,15,8,4,1375,621
"66","G1700310060100","Illinois","Cook","17031",2000,150,72,29,42,10,45,2622,418
"67","G1700310060200","Illinois","Cook","17031",2000,477,58,7,12,31,7,2355,681
"68","G1700310060300","Illinois","Cook","17031",2000,279,51,14,7,5,14,2847,433
"69","G1700310060400","Illinois","Cook","17031",2000,245,65,16,3,5,13,3191,428
"70","G1700310060500","Illinois","Cook","17031",2000,43,36,5,6,1,13,1235,139
"71","G1700310060600","Illinois","Cook","17031",2000,40,13,0,2,1,0,830,61
"72","G1700310060700","Illinois","Cook","17031",2000,206,94,13,13,3,10,2258,419
"73","G1700310060800","Illinois","Cook","17031",2000,179,56,37,4,3,3,5241,389
"74","G1700310060900","Illinois","Cook","17031",2000,254,98,28,4,25,12,6992,552
"75","G1700310061000","Illinois","Cook","17031",2000,49,31,3,0,3,1,1612,105
"76","G1700310061100","Illinois","Cook","17031",2000,43,12,1,2,3,3,1254,79
"77","G1700310061200","Illinois","Cook","17031",2000,60,36,3,6,4,2,1836,130
"78","G1700310061300","Illinois","Cook","17031",2000,94,41,6,0,6,1,1123,170
"79","G1700310061400","Illinois","Cook","17031",2000,35,28,2,0,2,1,1363,80
"80","G1700310061500","Illinois","Cook","17031",2000,30,18,5,4,2,0,1680,79
"81","G1700310061600","Illinois","Cook","17031",2000,31,3,0,4,0,0,539,45
"82","G1700310061700","Illinois","Cook","17031",2000,48,16,5,10,4,0,1121,95
"83","G1700310061800","Illinois","Cook","17031",2000,66,12,3,0,0,1,1299,100
"84","G1700310061900","Illinois","Cook","17031",2000,302,67,36,4,20,29,8344,599
"85","G1700310062000","Illinois","Cook","17031",2000,77,27,10,2,3,7,2705,167
"86","G1700310062100","Illinois","Cook","17031",2000,84,38,10,2,15,4,3127,182
"87","G1700310062200","Illinois","Cook","17031",2000,106,28,9,1,1,2,2790,160
"88","G1700310062300","Illinois","Cook","17031",2000,99,23,11,0,0,2,1597,150
"89","G1700310062400","Illinois","Cook","17031",2000,58,19,2,0,2,0,1357,94
"90","G1700310062500","Illinois","Cook","17031",2000,135,33,6,7,4,0,1478,196
"91","G1700310062600","Illinois","Cook","17031",2000,134,13,14,3,0,6,1283,188
"92","G1700310062700","Illinois","Cook","17031",2000,191,55,13,20,8,0,2426,321
"93","G1700310062800","Illinois","Cook","17031",2000,144,46,13,11,9,10,3192,260
"94","G1700310062900","Illinois","Cook","17031",2000,118,46,10,7,8,4,3544,237
"95","G1700310063000","Illinois","Cook","17031",2000,86,29,10,8,9,3,3183,194
"96","G1700310063100","Illinois","Cook","17031",2000,143,20,5,3,7,8,2282,230
"97","G1700310063200","Illinois","Cook","17031",2000,168,40,38,7,11,7,7090,361
"98","G1700310063300","Illinois","Cook","17031",2000,141,72,26,4,7,4,8945,372
"99","G1700310063400","Illinois","Cook","17031",2000,79,19,8,1,2,1,2076,154
"100","G1700310070100","Illinois","Cook","17031",2000,143,46,10,5,10,10,8205,312
"101","G1700310070200","Illinois","Cook","17031",2000,66,22,5,3,3,4,3784,144
"102","G1700310070300","Illinois","Cook","17031",2000,129,40,4,3,8,0,3164,211
"103","G1700310070400","Illinois","Cook","17031",2000,45,33,22,0,3,0,2914,124
"104","G1700310070500","Illinois","Cook","17031",2000,60,30,9,2,3,0,2723,125
"105","G1700310070600","Illinois","Cook","17031",2000,209,22,6,1,2,1,2640,268
"106","G1700310070700","Illinois","Cook","17031",2000,284,156,4,5,5,7,2706,527
"107","G1700310070800","Illinois","Cook","17031",2000,63,58,7,6,8,19,1148,175
"108","G1700310070900","Illinois","Cook","17031",2000,42,13,9,4,0,3,1943,87
"109","G1700310071000","Illinois","Cook","17031",2000,129,33,10,2,1,2,4155,246
"110","G1700310071100","Illinois","Cook","17031",2000,76,22,4,1,3,0,3535,156
"111","G1700310071200","Illinois","Cook","17031",2000,48,12,5,0,2,3,2173,93
"112","G1700310071300","Illinois","Cook","17031",2000,65,10,6,2,0,0,3754,116
"113","G1700310071400","Illinois","Cook","17031",2000,93,35,17,3,2,1,4961,204
"114","G1700310071500","Illinois","Cook","17031",2000,70,36,8,1,2,0,6275,169
"115","G1700310071600","Illinois","Cook","17031",2000,23,14,7,0,1,0,1927,70
"116","G1700310071700","Illinois","Cook","17031",2000,26,14,2,0,4,0,1621,49
