"","CBSAA","metro_name","total_pop","total_mexican","prc_mexican","race_ethnicity","avg_incwage","weighted_median_incwage","ownershp_f","per","per2"
"1",31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13111917,4488186,"34.2%","Mexican","$44,800","$34,447","Owned or being bought (loan)",43.2,"43.2%"
"2",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4610050,2086735,"45.3%","Mexican","$45,104","$35,072","Owned or being bought (loan)",62.03,"62.0%"
"3",26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",7142603,1925395,"27.0%","Mexican","$46,129","$35,072","Owned or being bought (loan)",62.19,"62.2%"
"4",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7673379,1795650,"23.4%","Mexican","$43,669","$35,000","Owned or being bought (loan)",62.23,"62.2%"
"5",16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9566955,1696231,"17.7%","Mexican","$44,024","$35,072","Owned or being bought (loan)",63.01,"63.0%"
"6",38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4864209,1310430,"26.9%","Mexican","$43,295","$35,824","Owned or being bought (loan)",59.12,"59.1%"
"7",41700,"San Antonio-New Braunfels, TX Metro Area",2570862,1220362,"47.5%","Mexican","$44,964","$35,670","Owned or being bought (loan)",63.37,"63.4%"
"8",41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3289701,983086,"29.9%","Mexican","$47,261","$35,072","Owned or being bought (loan)",43.2,"43.2%"
"9",32580,"McAllen-Edinburg-Mission, TX Metro Area",873167,771024,"88.3%","Mexican","$39,783","$29,226","Owned or being bought (loan)",70.04,"70.0%"
"10",21340,"El Paso, TX Metro Area",867161,677323,"78.1%","Mexican","$40,855","$30,500","Owned or being bought (loan)",67.09,"67.1%"
