"","year","county","state_county","mexican","total_pop","total_his"
"1","1990","Cook County","17031",465765,5105067,694194
"2","1990","DuPage County","17043",24703,781666,34567
"3","1990","Kane County","17089",35583,317471,43535
"4","1990","Lake County","17097",27226,516418,38570
"5","1990","McHenry County","17111",4988,183241,6066
"6","1990","Will County","17197",16582,357313,19973
"7","1990","Chicago","17031",352543,2783377,545829
"8","1990","Cook County outside of Chicago",NA,113222,2321690,148365
"9","2000","Cook County","17031",786423,5376741,1071740
"10","2000","DuPage County","17043",63135,904161,81366
"11","2000","Kane County","17089",80870,404119,95924
"12","2000","Lake County","17097",71153,644356,92716
"13","2000","McHenry County","17111",15881,260077,19602
"14","2000","Will County","17197",35416,502266,43768
"15","2000","Chicago","17031",530452,2895642,753616
"16","2000","Cook County outside of Chicago",NA,255971,2481099,318124
"17","2010","Cook County","17031",961963,5194675,1244762
"18","2010","DuPage County","17043",96039,916924,121506
"19","2010","Kane County","17089",139009,515269,158390
"20","2010","Lake County","17097",111952,703462,139987
"21","2010","McHenry County","17111",28796,308760,35249
"22","2010","Will County","17197",90355,677560,105817
"23","2010","Chicago","17031",577894,2686766,778353
"24","2010","Cook County outside of Chicago",NA,384069,2507909,466409
"25","2018-2022","Cook County","17031",1034038,5225367,1352482
"26","2018-2022","DuPage County","17043",103194,930559,137806
"27","2018-2022","Kane County","17089",140614,517254,168609
"28","2018-2022","Lake County","17097",127212,713159,162456
"29","2018-2022","McHenry County","17111",34279,311133,44625
"30","2018-2022","Will County","17197",108834,696774,129687
"31","2018-2022","Chicago","17031",581376,2710105,787050
"32","2018-2022","Cook County outside of Chicago",NA,452662,2515262,565432
