"","group","age_group","weighted_population","weighted_percentage"
"1","Mexican","0-9",982,0.167655755953316
"2","Mexican","0-9",1377,0.235093661861218
"3","Mexican","0-9",196,0.0334628596403767
"4","Mexican","0-9",30156,5.14849997609796
"5","Mexican","0-9",1019,0.173972724354816
"6","Mexican","0-9",20375,3.47860084271773
"7","Mexican","0-9",27339,4.6675567332054
"8","Mexican","10-19",3171,0.541381264896095
"9","Mexican","10-19",811,0.138461118205844
"10","Mexican","10-19",46,0.00785352828294555
"11","Mexican","10-19",152,0.0259507891088636
"12","Mexican","10-19",42418,7.2419774501301
"13","Mexican","10-19",1055,0.180118963880599
"14","Mexican","10-19",22175,3.7859128190069
"15","Mexican","10-19",31071,5.30471689737829
"16","Mexican","20-29",2739,0.467626390586693
"17","Mexican","20-29",1131,0.193094358435031
"18","Mexican","20-29",16,0.00273166201145932
"19","Mexican","20-29",394,0.0672671770321858
"20","Mexican","20-29",41321,7.05468787346942
"21","Mexican","20-29",1018,0.173801995479099
"22","Mexican","20-29",21568,3.68228039144717
"23","Mexican","20-29",34520,5.89356078972349
"24","Mexican","30-39",2696,0.460285048930896
"25","Mexican","30-39",457,0.0780230962023069
"26","Mexican","30-39",177,0.0302190110017688
"27","Mexican","30-39",34790,5.93965758616686
"28","Mexican","30-39",628,0.107217733949778
"29","Mexican","30-39",19534,3.3350178582404
"30","Mexican","30-39",28046,4.78826204833676
"31","Mexican","40-49",2142,0.365701251784117
"32","Mexican","40-49",287,0.0489991873305516
"33","Mexican","40-49",62,0.0105851902944049
"34","Mexican","40-49",11,0.00187801763287828
"35","Mexican","40-49",33953,5.7967575171924
"36","Mexican","40-49",583,0.0995349345425491
"37","Mexican","40-49",20015,3.4171384474599
"38","Mexican","40-49",24144,4.12207797529212
"39","Mexican","50-59",1982,0.338384631669524
"40","Mexican","50-59",196,0.0334628596403767
"41","Mexican","50-59",13,0.0022194753843107
"42","Mexican","50-59",26271,4.48521829394049
"43","Mexican","50-59",435,0.0742670609365503
"44","Mexican","50-59",15953,2.72363775430066
"45","Mexican","50-59",16722,2.85492825972642
"46","Mexican","60-69",1307,0.223142640561083
"47","Mexican","60-69",119,0.0203167362102287
"48","Mexican","60-69",17772,3.03419357922844
"49","Mexican","60-69",512,0.0874131843666983
"50","Mexican","60-69",8229,1.40492791826867
"51","Mexican","60-69",11500,1.96338207073639
"52","Mexican","70-79",438,0.0747792475636989
"53","Mexican","70-79",17,0.00290239088717553
"54","Mexican","70-79",30,0.00512186627148623
"55","Mexican","70-79",39,0.0066584261529321
"56","Mexican","70-79",8241,1.40697666477727
"57","Mexican","70-79",19,0.00324384863860795
"58","Mexican","70-79",6687,1.14166399191428
"59","Mexican","70-79",9125,1.55790099091039
"60","Mexican","80+",193,0.0329506730132281
"61","Mexican","80+",14,0.00239020426002691
"62","Mexican","80+",14,0.00239020426002691
"63","Mexican","80+",2889,0.493235721944124
"64","Mexican","80+",24,0.00409749301718898
"65","Mexican","80+",2572,0.439114668342086
"66","Mexican","80+",1836,0.313458215814957
"67","Cuban","0-9",137,1.47058823529412
"68","Cuban","0-9",46,0.493774151996565
"69","Cuban","0-9",199,2.13610991841992
"70","Cuban","0-9",405,4.34735938170889
"71","Cuban","0-9",569,6.1077715757836
"72","Cuban","10-19",61,0.654787462430228
"73","Cuban","10-19",105,1.12709317303564
"74","Cuban","10-19",87,0.933877200515243
"75","Cuban","10-19",250,2.68355517389438
"76","Cuban","10-19",336,3.60669815371404
"77","Cuban","20-29",95,1.01975096607986
"78","Cuban","20-29",147,1.57793044224989
"79","Cuban","20-29",75,0.805066552168313
"80","Cuban","20-29",118,1.26663804207815
"81","Cuban","20-29",634,6.80549592099613
"82","Cuban","20-29",749,8.03993130098755
"83","Cuban","30-39",151,1.6208673250322
"84","Cuban","30-39",163,1.74967797337913
"85","Cuban","30-39",48,0.51524259338772
"86","Cuban","30-39",643,6.90210390725633
"87","Cuban","30-39",631,6.7732932589094
"88","Cuban","40-49",182,1.9536281665951
"89","Cuban","40-49",200,2.1468441391155
"90","Cuban","40-49",26,0.279089738085015
"91","Cuban","40-49",152,1.63160154572778
"92","Cuban","40-49",152,1.63160154572778
"93","Cuban","50-59",23,0.246887075998283
"94","Cuban","50-59",28,0.30055817947617
"95","Cuban","50-59",383,4.11120652640618
"96","Cuban","50-59",496,5.32417346500644
"97","Cuban","60-69",49,0.525976814083298
"98","Cuban","60-69",285,3.05925289823959
"99","Cuban","60-69",14,0.150279089738085
"100","Cuban","60-69",461,4.94847574066123
"101","Cuban","60-69",301,3.23100042936883
"102","Cuban","70-79",34,0.364963503649635
"103","Cuban","70-79",49,0.525976814083298
"104","Cuban","70-79",341,3.66036925719193
"105","Cuban","70-79",230,2.46887075998283
"106","Cuban","80+",75,0.805066552168313
"107","Cuban","80+",63,0.676255903821383
"108","Cuban","80+",123,1.32030914555603
"109","Puerto Rican","0-9",80,0.083613787913627
"110","Puerto Rican","0-9",1306,1.36499508768996
"111","Puerto Rican","0-9",197,0.205898952737306
"112","Puerto Rican","0-9",3325,3.47519806016012
"113","Puerto Rican","0-9",505,0.52781203620477
"114","Puerto Rican","0-9",3101,3.24107945400196
"115","Puerto Rican","0-9",4551,4.75657935993645
"116","Puerto Rican","10-19",254,0.265473776625766
"117","Puerto Rican","10-19",1282,1.33991095131587
"118","Puerto Rican","10-19",25,0.0261293087230084
"119","Puerto Rican","10-19",3935,4.11275319300153
"120","Puerto Rican","10-19",200,0.209034469784067
"121","Puerto Rican","10-19",2314,2.41852881540166
"122","Puerto Rican","10-19",4696,4.9081293505299
"123","Puerto Rican","20-29",14,0.0146324128848847
"124","Puerto Rican","20-29",1204,1.25838750810009
"125","Puerto Rican","20-29",9,0.00940655114028303
"126","Puerto Rican","20-29",4414,4.61339074813437
"127","Puerto Rican","20-29",258,0.269654466021447
"128","Puerto Rican","20-29",2576,2.69236397081879
"129","Puerto Rican","20-29",4653,4.86318693952633
"130","Puerto Rican","30-39",90,0.0940655114028303
"131","Puerto Rican","30-39",724,0.756704780618324
"132","Puerto Rican","30-39",117,0.122285164823679
"133","Puerto Rican","30-39",3902,4.07826250548715
"134","Puerto Rican","30-39",178,0.18604067810782
"135","Puerto Rican","30-39",3074,3.21285980058112
"136","Puerto Rican","30-39",5094,5.3241079454002
"137","Puerto Rican","40-49",122,0.127511026568281
"138","Puerto Rican","40-49",850,0.888396496582286
"139","Puerto Rican","40-49",19,0.0198582746294864
"140","Puerto Rican","40-49",61,0.0637555132841406
"141","Puerto Rican","40-49",5278,5.51641965760154
"142","Puerto Rican","40-49",466,0.487050314596877
"143","Puerto Rican","40-49",2464,2.57530466773971
"144","Puerto Rican","40-49",4157,4.34478145446184
"145","Puerto Rican","50-59",37,0.0386713769100525
"146","Puerto Rican","50-59",302,0.315642049373942
"147","Puerto Rican","50-59",25,0.0261293087230084
"148","Puerto Rican","50-59",4344,4.54022868370994
"149","Puerto Rican","50-59",159,0.166182403478334
"150","Puerto Rican","50-59",2596,2.71326741779719
"151","Puerto Rican","50-59",4370,4.56740316478187
"152","Puerto Rican","60-69",54,0.0564393068416982
"153","Puerto Rican","60-69",192,0.200673090992705
"154","Puerto Rican","60-69",3525,3.68423252994419
"155","Puerto Rican","60-69",208,0.21739584857543
"156","Puerto Rican","60-69",2443,2.55335604841238
"157","Puerto Rican","60-69",3483,3.64033529128953
"158","Puerto Rican","70-79",139,0.145278956499927
"159","Puerto Rican","70-79",2033,2.12483538535504
"160","Puerto Rican","70-79",95,0.099291373147432
"161","Puerto Rican","70-79",1406,1.46951232258199
"162","Puerto Rican","70-79",1697,1.77365747611781
"163","Puerto Rican","80+",825,0.862267187859278
"164","Puerto Rican","80+",44,0.0459875833524948
"165","Puerto Rican","80+",879,0.918706494700976
"166","Puerto Rican","80+",1327,1.38694370701729
"167","Black/African American","0-9",89979,4.6675294965932
"168","Black/African American","10-19",99545,5.1637518058477
"169","Black/African American","20-29",118632,6.15386211493621
"170","Black/African American","30-39",103334,5.36030065905336
"171","Black/African American","40-49",90910,4.71582376482611
"172","Black/African American","50-59",98038,5.08557837703247
"173","Black/African American","60-69",93149,4.83196862688139
"174","Black/African American","70-79",55574,2.8828202607683
"175","Black/African American","80+",29528,1.53172196818596
"176","White","0-9",68411,3.54872092812143
"177","White","10-19",57378,2.9764001317588
"178","White","20-29",172033,8.92396116746595
"179","White","30-39",189610,9.83574242711119
"180","White","40-49",107786,5.5912416710543
