Layer,Name,GEOID,HCSOBP_2022-2023,HCSDIAP_2022-2023,HCSATHP_2022-2023,VRBWP_2017-2021,HCSUMHAP_2022-2023,CCR_2017-2021,HCSHYTP_2022-2023,HCSSPDP_2022-2023,CCG_2017-2021,CHAVQOS_2022-2023
(Indicator name),,,"Adult obesity rate (% of adults), 2022-2023","Adult diabetes rate (% of adults), 2022-2023","Adult asthma rate (% of adults), 2022-2023","Low birthweight rate (% of births), 2017-2021","Unmet mental health treatment need among moderate or serious psychological distress rate (% of adults), 2022-2023","Cancer diagnosis rate (per 100,000 population), 2017-2021","Hypertension rate (% of adults), 2022-2023","Serious psychological distress rate (% of adults), 2022-2023","Lung cancer diagnosis rate (per 100,000 population), 2017-2021","Adult loneliness rate (percent of adults), 2022-2023"
(Definition),,,Percent of adults who reported a height and weight that yield a body mass index of 30 or greater.,"Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with diabetes (excludes pre-diabetes or diabetes only during pregnancy).","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with asthma, and they currently have asthma.",Percent of births with a birthweight less than 2500 grams (5.5 pounds).,Estimated percent of adults aged 18 years and older who were classified as having moderate or serious psychological distress and reported that they are not currently taking medicine or receiving treatment from a doctor or other health professional for any mental health condition or emotional problem.,"Annual diagnosis rate for all invasive cancers. Does not include pre-cancerous diagnoses such as breast cancer in situ or urinary cancer in situ. All ages, risk-adjusted.","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with high blood pressure (excludes borderline high, pre-hypertensive or hypertension diagnosed only during pregnancy).","Estimated percent of adults who were classified as having serious psychological distress based on how often they felt nervous, hopeless, restless or fidgety, depressed, worthless, or that everything was an effort in the past 30 days.","Annual diagnosis rate for lung and bronchus cancer. Ages 15 and over, risk-adjusted.","Percent of adults who reported being lonely based on how often they felt they lacked companionship, felt left out, and felt alone"
(Citation),,,"Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Illinois Department of Public Health, Birth Certificate Data Files","Chicago Department of Public Health, Healthy Chicago Survey","Illinois Department of Public Health, Illinois State Cancer Registry (Calculated by Metopio)","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Illinois Department of Public Health, Illinois State Cancer Registry (Calculated by Metopio)","Chicago Department of Public Health, Healthy Chicago Survey"
---,---,---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,33.12318843,11.08326461,12.89265331,8.7002841,63.12744299,490.8618392,28.34924407,18.81851117,47.62371063,36.52888635
Community area,Norwood Park,10,42.94793697,8.426020305,13.42675971,7.9281184,79.09733122,553.8257441,33.98164353,8.229335323,55.8378695,18.76070074
Community area,Jefferson Park,11,30.43721619,8.768247938,,8.2012405,64.25153581,548.2148847,28.51707302,8.85825254,54.54173834,34.21669332
Community area,Forest Glen,12,19.08506521,13.69349908,2.812727225,4.9638056,56.2332298,561.0685879,37.33726845,2.946197152,53.27387653,15.87502517
Community area,North Park,13,27.95058968,,,7.2029935,65.48913258,514.4678574,27.78475708,,49.01897531,31.58533735
Community area,Albany Park,14,29.30390984,12.33077588,14.24954163,8.4039309,76.85001499,449.1820731,26.85644759,13.29334011,37.42161718,37.92930172
